Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1961","1961","100 g/ha","9536","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1962","1962","100 g/ha","9283","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1963","1963","100 g/ha","9039","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1964","1964","100 g/ha","8537","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1965","1965","100 g/ha","12062","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1966","1966","100 g/ha","16026","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1967","1967","100 g/ha","11640","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1968","1968","100 g/ha","11089","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1969","1969","100 g/ha","11047","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","10643","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1971","1971","100 g/ha","10758","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1972","1972","100 g/ha","10358","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1973","1973","100 g/ha","10525","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1974","1974","100 g/ha","11431","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1975","1975","100 g/ha","10741","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1976","1976","100 g/ha","10438","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1977","1977","100 g/ha","10703","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1978","1978","100 g/ha","10634","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1979","1979","100 g/ha","10615","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1980","1980","100 g/ha","8682","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1981","1981","100 g/ha","10161","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1982","1982","100 g/ha","9276","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1983","1983","100 g/ha","4300","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1984","1984","100 g/ha","9613","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1985","1985","100 g/ha","10086","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1986","1986","100 g/ha","11845","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1987","1987","100 g/ha","10907","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1988","1988","100 g/ha","13907","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1989","1989","100 g/ha","12610","A","Official figure",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","0112","Maize (corn)","1990","1990","100 g/ha","11889","A","Official figure",""
