"Category","Annual Mean","5-yr smooth"
1901,1279.34,1157.4
1902,1180.86,1157.77
1903,1051.27,1158.73
1904,1004.64,1160.84
1905,1132.05,1164.7
1906,1235.77,1170.87
1907,1087.99,1179.85
1908,1236.69,1191.35
1909,1377.73,1204.54
1910,1436.27,1218.69
1911,1254.12,1233.05
1912,1042.93,1246.87
1913,1171.02,1259.11
1914,1108.06,1268.63
1915,1221.17,1274.22
1916,1364.55,1274.69
1917,1573.17,1268.84
1918,1289.12,1256.77
1919,1086.54,1241.26
1920,1034.84,1225.41
1921,1346.5,1212.45
1922,1193.17,1205.45
1923,1195.5,1206.84
1924,1222.13,1215.76
1925,1362.48,1230.33
1926,1177.92,1248.75
1927,1228.9,1269.2
1928,1237.7,1289.9
1929,1407.99,1308.71
1930,1294.6,1323.61
1931,1350.25,1332.49
1932,1199.23,1333.23
1933,1418.87,1323.83
1934,1353.7,1305.23
1935,1334,1281.87
1936,1188.01,1258.35
1937,1150.86,1239.43
1938,1244.24,1229.68
1939,1274.06,1231.23
1940,1227.27,1240.21
1941,1335.56,1251.78
1942,1203.53,1261.18
1943,1304.59,1263.61
1944,1267.04,1255.57
1945,1193.9,1240.56
1946,1077.45,1224.22
1947,1403.74,1212.22
1948,1126.78,1210.23
1949,1335.92,1223.34
1950,1036,1249.34
1951,1429.1,1281.16
1952,1388.28,1311.71
1953,1236.97,1333.65
1954,1310.27,1340.06
1955,1417.32,1329.96
1956,1195.37,1310.29
1957,1486.4,1288.77
1958,1048.85,1272.9
1959,1296.94,1270.27
1960,1380.97,1284.93
1961,1115.89,1311.12
1962,1458.05,1341.54
1963,1679.38,1368.88
1964,1214.93,1385.84
1965,1298.15,1386.32
1966,1255.25,1372.1
1967,1165.98,1347.72
1968,1775.89,1317.67
1969,1250.4,1286.66
1970,1111.28,1259
1971,1262.65,1236.29
1972,1172.91,1218.04
1973,1180.43,1203.82
1974,1273.26,1193.08
1975,1216.13,1185.31
1976,1164.86,1179.94
1977,986.56,1176.39
1978,1181.19,1174.01
1979,1421.04,1172.2
1980,1247.87,1170.32
1981,1150.25,1167.99
1982,1097.54,1165.48
1983,849.69,1163.2
1984,1257.52,1161.56
1985,1237.58,1160.98
1986,1111.19,1161.78
1987,1241.78,1163.76
1988,1186.82,1166.49
1989,1340.32,1169.51
1990,1051.82,1172.4
1991,1317.59,1174.74
1992,957.82,1176.21
1993,1103.87,1176.62
1994,1155.17,1175.77
1995,1207.54,1173.46
1996,1236.75,1169.5
1997,1234.07,1164.45
1998,1043.15,1160.04
1999,1317.88,1158.14
2000,1112.53,1160.6
2001,1105.02,1169.29
2002,1213.8,1185.07
2003,1279.59,1205.33
2004,1172.62,1226.77
2005,1152.61,1245.9
2006,1166.1,1259.4
2007,1323.67,1264.39
2008,1362.7,1261.55
2009,1253.16,1253.33
2010,1338.61,1242.17
2011,1204.63,1230.49
2012,1253.35,1220.65
2013,1102.36,1213.95
2014,1244.65,1210.53
2015,1106.44,1210.51
2016,1194.26,1214.03
2017,1134.55,1221.21
2018,1315.19,1231.89
2019,1450.15,1245.43
2020,1232.15,1261.15
2021,1262.45,1278.25
2022,1230.61,1296.07
